_url,name,birth_year,weight,height,nationality
anthony-jullien,Anthony  Jullien,1998,72.0,178,France
johan-museeuw,Johan  Museeuw,1965,71.0,184,Belgium
massimo-donati,Massimo  Donati,1967,75.0,186,Italy
eduardo-hernandez,Eduardo  Hernandez,1973,65.0,183,Spain
matthew-white,Matthew  White,1974,72.0,181,Australia
luca-colnaghi,Luca  Colnaghi,1999,63.0,171,Italy
anton-chantyr,Anton  Chantyr,1974,66.0,178,Russia
johnnie-walker,Johnnie  Walker,1987,63.0,178,Australia
elie-gesbert,Élie  Gesbert,1995,63.0,181,France
jerome-neuville,Jerome  Neuville,1975,85.0,192,France
eddy-merckx,Eddy  Merckx,1945,74.0,182,Belgium
manuele-boaro,Manuele  Boaro,1987,64.0,173,Italy
